InsertionSort
0.001
0.058
1.61
5.40
23.18
45.82
81.45
MergeSort
0.0
0.0237
0.031
0.225
0.34
0.229
0.267
HybridSort
0.0
0.0
0.07
0.2056
0.356
0.5501
0.6826
SelectionSort
0.0010
0.134
2.909
11.398
43.53
94.31
168.89
BubbleSort
0.0019
0.272
3.682
12.91
39.02
83.62
113.21
